Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
3331,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3332,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3333,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3334,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3335,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3336,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3337,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3338,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3339,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3340,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3341,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3342,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3343,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3344,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3345,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3346,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3347,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3348,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3349,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3350,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3351,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3352,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3353,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3354,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
3355,Computador Notebook,"Computador Notebook

Notebook  com requisitos mínimos: INTEL CORE I9 ou Geração mais atual, com requisitos para gamer, Memória de 16GB (2x8GB), DDR4, 3200MHz, Expansível até 32GB (2 slots soDIMM).",11779.0,167.0,ARANOUÁ - ANO 4 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,73114.0,2023-08-07,2025-12-10,022-2025
