Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2187.0,Máquina ou Equipamento,"MONITOR AOC LED 18,5 E970SWHNL HDMI/VGA; MEMORIA DDR4 8gb 2666mhz MES4U266KF8G; PROC. INTEL CORE I5 9400F 2,90 GHZ 9 MB CACHE LGA 1151 COFFEE LAKE 9O GERACAO SEM PLACA GRA; PLACA MAE ASROCK H310CM-HG4 INTEL LGA 1151 MATX DDR4; TECLADO PADRAO USB - PRETO MAXPRINT; MOUSE OTICO USB PRETO 1000DPI PCG MAXPRINT; PLACA DE VIDEO ASUS GTX1050 4GB DDR5 CER; GABINETE GAMER MICRO ATX SEM FONTE COM 2 COOLERS; FONTE ATX 650W 80 PLUS BRONZE; SSD PCIe DESKTOP NOTEBOOK SNVS/500G NV1 500GB M.2 2280 NVME PCIE; NOTEBOOK DELL G3 CORE I7-10750H/16GB/512 SSD/GTX 1660TI6GB/W10 HOME SINGLE/FULL HD WVA 15.6; ",24472.0,40.0,IFAM 2021-007-Rastreabilidade RFID (10883-9),Miriã dos Santos Bezerra,Emmerson Santa Rita da Silva,Registrado,6695.0,2021-06-30,2025-12-10,030-2025
,2188.0,Máquina ou Equipamento,Licenciamento para uso do Proj4me por até 20 usuários durante o período de 30/06/2021 a 30/06/2022.,5697.72,40.0,IFAM 2021-007-Rastreabilidade RFID (10883-9),Miriã dos Santos Bezerra,Emmerson Santa Rita da Silva,Registrado,268.0,2021-06-30,2025-12-10,030-2025
,,,,30169.72,,,,,,,,,
