Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2941.0,Máquina ou Equipamento,"SENSOR DE PRESENÇA;
PILHA ALCALINA AA1.5V
PILHA ALCALINA AAA1.5V",667.5,108.0,IFAM 2020-010 – PROEJA FIC (10675-5),Cássia Vilaça de Almeida,Clisivânia Duarte de Souza,Doado,41050.0,2023-05-30,2025-12-10,001-2025
,2942.0,Máquina ou Equipamento,"GARMIN GPSMAP 64SX MAPA TOPO ACTIVE AMERICA DO SUL ANTENA HELIZ QUADRUPLA BLUETOOTH - PRETO+CINZA;
INVERSOR DE TENSÃO 1000W - 12V PARA 110V COM TOMADA PADRÃO;
TURBIDÍMETRO DIGITAL - MONITORAMENTO DE QUALIDADE DE ÁGUA;",19174.0,108.0,IFAM 2020-010 – PROEJA FIC (10675-5),Cássia Vilaça de Almeida,Clisivânia Duarte de Souza,Doado,1150.0,2023-06-20,2025-12-10,001-2025
,,,,19841.5,,,,,,,,,
