Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2917.0,Máquina ou Equipamento,"MONITOR AOC LED 18,5 E970SWHNL HDMI/VGA; MEMORIA DDR4 8gb 2666mhz MES4U266KF8G; PROC. INTEL CORE I5 9400F 2,90 GHZ 9 MB CACHE LGA 1151 COFFEE LAKE 9O GERACAO SEM PLACA GRA; PLACA MAE ASROCK H310CM-HG4 INTEL LGA 1151 MATX DDR4; TECLADO PADRAO USB - PRETO MAXPRINT; MOUSE OTICO USB PRETO 1000DPI PCG MAXPRINT; PLACA DE VIDEO ASUS GTX1050 4GB DDR5 CER; GABINETE GAMER MICRO ATX SEM FONTE COM 2 COOLERS; FONTE ATX 650W 80 PLUS BRONZE; SSD PCIe DESKTOP NOTEBOOK SNVS/500G NV1 500GB M.2 2280 NVME PCIE; NOTEBOOK DELL G3 CORE I7-10750H/16GB/512 SSD/GTX 1660TI 6GB/W10 HOME SINGLE/FULL HD WVA 15.6; ",77000.0,44.0,IFAM 2021-008 - DENSO - SW (10884-7),Miriã dos Santos Bezerra,Gilbert Breves Martins,Doado,6694.0,2021-06-30,2025-12-10,031-2025
,2918.0,Máquina ou Equipamento,UPS Professional 3200 2BS/2BA;,3195.9,44.0,IFAM 2021-008 - DENSO - SW (10884-7),Miriã dos Santos Bezerra,Gilbert Breves Martins,Doado,613.0,2022-03-07,2025-12-10,031-2025
,2919.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","Armário - 2,30 de altura | 0,70cm de largura | 0,50cm de prof. Com porta;  Armário - 2,60 de comprimento | 1,30 de altura | 0,60cm de prof. Com 6 portas; Mesa 2,60 de comprimento| 0,95cm de altura | 1,00 de profundidade; Armário 5,60 de comprimento | 0,70 de altura| 0,35cm de prof. Com 14 portas; Armário 4,20 de comprimento | 0,70 de altura| 0,35cm de prof. Com 10 portas;",11700.0,44.0,IFAM 2021-008 - DENSO - SW (10884-7),Miriã dos Santos Bezerra,Gilbert Breves Martins,Doado,2.0,2021-06-29,2025-12-10,031-2025
,,,,91895.9,,,,,,,,,
