Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
4064,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4065,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4066,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4067,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4068,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4069,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4070,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4071,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4072,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4073,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4074,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4075,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4076,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4077,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4078,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4079,Cadeira,Mobiliário - Cadeiras para Laboratórios 3 e 4 / Salas 7 e 8,590.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,3241.0,2023-05-19,2025-12-10,022-2025
4080,Cadeira,Poltronas Coloridas Padrões - Auditório ,295.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,2715.0,2023-05-16,2025-12-10,022-2025
4081,Cadeira,Poltronas Coloridas Padrões - Auditório ,295.0,112.0,ARANOUÁ - ANO 3 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,2715.0,2023-05-16,2025-12-10,022-2025
