Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2195.0,Máquina ou Equipamento,NOT SSG BOOK CIN CEL 1.8/4GB/500GB/15.6/FHD/W10; ,194547.0,59.0,IFAM 2021-013 - FLEX - Capacitar 4.0 (10923-1), Jailson Paulino Cezar,Alyson de Jesus dos Santos,Registrado,23867.0,2021-06-22,2025-12-10,038-2025
,2196.0,Máquina ou Equipamento,MULTIMETRO DIGITAL ET-1002 MINIPA;,1708.5,59.0,IFAM 2021-013 - FLEX - Capacitar 4.0 (10923-1), Jailson Paulino Cezar,Alyson de Jesus dos Santos,Registrado,177850.0,2021-06-22,2025-12-10,038-2025
,2197.0,Máquina ou Equipamento,MULTIMETRO DIGITAL ET-1002 MINIPA;,1005.0,59.0,IFAM 2021-013 - FLEX - Capacitar 4.0 (10923-1), Jailson Paulino Cezar,Alyson de Jesus dos Santos,Registrado,178747.0,2021-06-24,2025-12-10,038-2025
,,,,197260.5,,,,,,,,,
