Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2178.0,Máquina ou Equipamento,NOTEBOOK AVELL A62 LIV - RTX 2060 6GB - 144HZ,35997.0,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,872.0,2021-05-20,2025-12-10,029-2025
,2179.0,Máquina ou Equipamento,"Microcomputador Dell XPS 8940 (Core i7-10700, RAM 16GB, GeForce RTX 2060, HDD 1TB, SSD 256GB, Wifi 6 AX1650i, DVD+-RW, MCAFEE 12 MESES, Win10 Home Advanced); Mouse (Indicador) Optico Dell MS116, Conexao USB, Preto, Com Fio, EAN Code 7899864908842; Teclado Alfanumerico de 107 Teclas, Padrao PTBR, Aplicacao em Maquina de Processamento de Dados, KB216, EAN Code 789986; ",10052.9,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,3154929.0,2021-06-17,2025-12-10,029-2025
,2180.0,Máquina ou Equipamento,AGV MD500 V_2021; PARTES AGV - INFRAESTRUTURA TRAJETO - FITA E TAG; PARTES AGV - CONJ CARREGADOR OPPORTUNITY CHARGING; PARTES AGV - DOCUMENTAÇÃO PROJETOS E MANUAIS;,216435.38,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,2730.0,2021-06-24,2025-12-10,029-2025
,2181.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",MESA DE TRANSFERÊNCIA DE PALLET,19000.0,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,107.0,2021-11-17,2025-12-10,029-2025
,2182.0,Máquina ou Equipamento,Inventor Profissional Single-user Annual Subscription Renewaal NS: 110.003.119.508,7978.46,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,15455.0,2021-06-10,2025-12-10,029-2025
,2183.0,Máquina ou Equipamento,TAB MOTO TAB G70 WIFI VDE (64GB) ,2231.07,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,29137.0,2022-02-03,2025-12-10,029-2025
,2184.0,Máquina ou Equipamento,SCANNER DE SEGURANCA A LASER; SUPORTE DE MONTAGEM PARA SERIE;  PARA SERIE SZ;  PARA SCANNER DE SEGURANCA; ,22456.24,34.0,IFAM 2021-006 - TELLESCOM - AGV (10846-4), Jailson Paulino Cezar,José Fábio de Lima Nascimento,Registrado,67956.0,2021-06-29,2025-12-10,029-2025
,,,,314151.05000000005,,,,,,,,,
