Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
4635,Lupa eletrônica,"Lupa eletrônica portátil com tela de pelo menos 7 polegadas e ampliação de até 24x, para uso em sala de
aula, deve ter função de captura à distância, foco de
visualização de, pelo menos 12 (doze) centímetros,
possibilidade de salvamento de imagens, permitindo
transferência das imagens salvas para computador via
USB, saída HDMI, com bateria recarregável e pelo menos
4 (quatro) horas de autonômica.
Deve acompanhar estojo, bateria e carregador bivolt com
tomada compatível ao padrão nacional.",8650,314.0,ARANOUÁ - ANO 6 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,112.0,2025-11-13,2025-12-10,022-2025
4636,Lupa eletrônica,"Lupa eletrônica portátil com tela de pelo menos 7 polegadas e ampliação de até 24x, para uso em sala de
aula, deve ter função de captura à distância, foco de
visualização de, pelo menos 12 (doze) centímetros,
possibilidade de salvamento de imagens, permitindo
transferência das imagens salvas para computador via
USB, saída HDMI, com bateria recarregável e pelo menos
4 (quatro) horas de autonômica.
Deve acompanhar estojo, bateria e carregador bivolt com
tomada compatível ao padrão nacional.",8650,314.0,ARANOUÁ - ANO 6 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,112.0,2025-11-13,2025-12-10,022-2025
4637,Lupa eletrônica,"Lupa eletrônica portátil com tela de pelo menos 7 polegadas e ampliação de até 24x, para uso em sala de
aula, deve ter função de captura à distância, foco de
visualização de, pelo menos 12 (doze) centímetros,
possibilidade de salvamento de imagens, permitindo
transferência das imagens salvas para computador via
USB, saída HDMI, com bateria recarregável e pelo menos
4 (quatro) horas de autonômica.
Deve acompanhar estojo, bateria e carregador bivolt com
tomada compatível ao padrão nacional.",8650,314.0,ARANOUÁ - ANO 6 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,112.0,2025-11-13,2025-12-10,022-2025
4638,Lupa eletrônica,"Lupa eletrônica portátil com tela de pelo menos 7 polegadas e ampliação de até 24x, para uso em sala de
aula, deve ter função de captura à distância, foco de
visualização de, pelo menos 12 (doze) centímetros,
possibilidade de salvamento de imagens, permitindo
transferência das imagens salvas para computador via
USB, saída HDMI, com bateria recarregável e pelo menos
4 (quatro) horas de autonômica.
Deve acompanhar estojo, bateria e carregador bivolt com
tomada compatível ao padrão nacional.",8650,314.0,ARANOUÁ - ANO 6 (10622-4),Luciana Cecilia Brito de Vasconcelos,Jeconias Ferreira dos Santos,Doado,112.0,2025-11-13,2025-12-10,022-2025
Valor total permanentes,,,34600,,,,,,,,,
