Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2169.0,Máquina ou Equipamento,"NOTEBOOK DELL INSPIRON 14 CORE I5, 8GBMEM, 256SSD, WIN10H;",13999.8,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,97.0,2021-10-21,2025-12-10,040-2025
,2170.0,Máquina ou Equipamento,CARRO FERRAMENTA 136PCS 5GAV E 1PORTA A 44950135 TRAMONTINA PRO;,6105.98,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,2378.0,2021-11-10,2025-12-10,040-2025
,2171.0,Máquina ou Equipamento,BOMBA PERIFER 110/220V IDB-40 1/2CV PREMIUM FERRAR; ,619.98,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,229989.0,2021-11-25,2025-12-10,040-2025
,2172.0,Máquina ou Equipamento,RAD GRAPH CHROME UVGCM-9020 - 3 SENSORES;,15100.0,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,2262.0,2021-11-29,2025-12-10,040-2025
,2173.0,Máquina ou Equipamento,NOBREAK NHS LASER SENOIDAL (GII 5000VA/12BATERIAS SELADAS 9AH/S.120V);,12515.0,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,81.0,2022-02-04,2025-12-10,040-2025
,2174.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","BANCADA TAMPO EM MADEIRA FECHADA C/ 02 PRATELEIRAS, TAMPO AÇO 1,5MM 1400X554X865MM, CAPACIDADE 400KG; ",2395.0,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,1496.0,2022-01-26,2025-12-10,040-2025
,2175.0,Máquina ou Equipamento,"MONITOR TOUCH SCREEN OPEN FRAME 10.1"" SPIDER WAVE - SP4B101I7/1.0 - Preto;",2499.8,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,13691.0,2021-10-08,2025-12-10,040-2025
,2176.0,Máquina ou Equipamento,Camara de Envelhecimento Acelerado;,50300.0,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,44.0,2021-10-11,2025-12-10,040-2025
,2177.0,Máquina ou Equipamento,Kit Raspberry Pi 4 Model B 8GB; ,2600.0,33.0,IFAM 2021-004 - NCR - Coari (10847-2), Jailson Paulino Cezar,FRANCISCO XAVIER NOBRE,Registrado,3634.0,2021-11-26,2025-12-10,040-2025
,,,,106135.56,,,,,,,,,
