Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2680.0,Manômetro,"Conjunto manifold, componentes: conjunto de 3 curvas em aço inoxidável abraçadeira, aplicação: sistema de envase R410",200.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,16947.0,2022-06-29,2025-12-10,063-2025
,2681.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2682.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2683.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2684.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2685.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2686.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2687.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2688.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2689.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2690.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2691.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2692.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2693.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
