Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2185.0,Máquina ou Equipamento,"Notebook Avell A60 MUV (32GB, 2TB, 2TB, Sem SO, Sem Office); Notebook Avell A62 LIV GTX1650TI (Preto, 120Hz, 32GB, 500GB, S/NVMe2, Sem HD, Sem SO, Sem Office);",43250.8,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,21121.0,2021-06-23,2025-12-10,045-2025
,2186.0,Máquina ou Equipamento,MEMORIA DDR4 16GB NOTE 2666 SODIM - CRUCIAL;,2060.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,6683.0,2021-06-29,2025-12-10,045-2025
,2187.0,Máquina ou Equipamento,SSD PCIe DESKTOP NOTEBOOK SNVS/500G NV1 500GB M.2 2280 NVMEPCIE; ,3450.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,6681.0,2021-06-29,2025-12-10,045-2025
,2189.0,Máquina ou Equipamento,Hd Hp Ssd Hitachi 100gb Husslf400 com gaveta; ,590.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,82.0,2021-06-29,2025-12-10,045-2025
,2190.0,Máquina ou Equipamento,FONTE DELL SWITCHING POWER SUPPLY 250W 80 PLUS BRONZE; ,2900.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,7083.0,2021-09-09,2025-12-10,045-2025
,2191.0,Máquina ou Equipamento,Memoria 16gb Ddr4 2666 Ecc Kingston - Ksm26ed8/16me;,3380.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,128.0,2021-09-10,2025-12-10,045-2025
,2192.0,Máquina ou Equipamento,32GB DDR4 ECC REG 2666MHz MUCRON;,3073.0,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,3020.0,2021-12-03,2025-12-10,045-2025
,2195.0,Máquina ou Equipamento,DISCO RIG EXT 2.5  USB 3.0 1.0TB T30 PRA (IMPORTADO);,1199.55,39.0,IFAM 2021-009-BEST (10878-2),Miriã dos Santos Bezerra,David Brito Ramos,Registrado,24058.0,2021-06-30,2025-12-10,045-2025
,,,,59903.350000000006,,,,,,,,,
