Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2192.0,Máquina ou Equipamento,NOTEBOOK DELL G3 CORE I7- 10750H/16GB/512 SSD/GTX 1660TI 6GB/W10 HOME SINGLE/FULL HD WVA 15.6;,21084.0,58.0,IFAM 2021-014 - FLEX - RFID (10924-X), Jailson Paulino Cezar,Gilbert Breves Martins,Registrado,6696.0,2021-06-30,2025-12-10,039-2025
,2193.0,Máquina ou Equipamento,Coletor de dados RFID; ,7835.0,58.0,IFAM 2021-014 - FLEX - RFID (10924-X), Jailson Paulino Cezar,Gilbert Breves Martins,Registrado,65.0,2021-06-30,2025-12-10,039-2025
,2194.0,Máquina ou Equipamento,"Leitor UHF RFID com modulo IMPINJ R2000 fixo com
 4 portas; Leitor UHF RFID Bluetooth;",89025.99,58.0,IFAM 2021-014 - FLEX - RFID (10924-X), Jailson Paulino Cezar,Gilbert Breves Martins,Registrado,67.0,2021-06-30,2025-12-10,039-2025
,,,,117944.99,,,,,,,,,
