Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2189.0,Máquina ou Equipamento,"IMPRESSORA MULTIFUNCIONAL BROTHER; NOTEBOOK ULTRA 4GB/1TB/LNX/TELA 14""/i3;",47515,42.0,IFAM 2021-011-CAPACITAR 4.0 (10886-3),Miriã dos Santos Bezerra,Wankmar Carvalho Mafra,Registrado,5219.0,2021-06-18,2025-12-10,033-2025
,,,,47515,,,,,,,,,
